show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,first_genre,rating_imdb,extract_year
s6441,Movie,Chal Mere Bhai,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani",India,2019-12-31,2000,TV-14,132 min,"Comedies, International Movies, Romantic Movies","When a secretary saves her tycoon boss's life, his family hears wedding bells. Problem is, she's already in love – with his younger brother.",Comedies,9.2,2019
s4225,Movie,Puriyatha Puthir,Ranjit Jeyakodi,"Vijay Sethupathi, Gayathrie, Mahima Nambiar, Arjunan, Ramesh Thilak, Ranjith",India,2019-01-01,2017,TV-MA,120 min,"International Movies, Thrillers",An aspiring music director begins to receive voyeuristic footage of his girlfriend from her apparent stalker as tragedy strikes those around him.,International Movies,9.1,2019
s6670,Movie,Ek Hasina Thi,Sriram Raghavan,"Saif Ali Khan, Urmila Matondkar, Seema Biswas, Pratima Kazmi, Aditya Srivastava, Rasika Joshi, Madan Joshi, Seema Adhikari",India,2019-08-01,2004,TV-MA,134 min,"Dramas, International Movies, Thrillers","Imprisoned for underworld crimes she didn’t commit, a vengeful woman breaks free and goes scorched earth on the smooth-talking suitor who framed her.",Dramas,9,2019
s3268,Movie,Guna 369,Arjun Jandyala,"Adithya Menon, Kartikeya Gummakonda, Anagha LK",India,2019-11-15,2019,TV-MA,143 min,"Action & Adventure, Dramas, International Movies",A pampered but kind-hearted average joe ditches his romancing and peacekeeping ways when he’s framed for a murder he didn’t commit.,Action & Adventure,9,2019
s3202,Movie,Thug Life,Mukesh Vohra,"Harish Verma, Jass Bajwa, Rajiv Thakur, Ihana Dhillon, Yograj Singh, Karamjit Anmol, Anita Devgan, Vrajesh Hirjee, Rana Jung Bahadur, Hobby Dhaliwal",India,2019-12-01,2017,TV-14,133 min,"Comedies, Dramas, International Movies",A get-rich-quick scheme goes awry when a group of friends stumbles onto a dangerous conspiracy and wind up getting mistaken for the bad guys.,Comedies,9,2019
s7362,Movie,Lupt,Prabhuraj,"Javed Jaffrey, Vijay Raaz, Karan Aanand, Niki Walia, Meenakshi Dixit, Rishabh Chaddha, Rishina Kandhari, Kiearra Soni",India,2019-04-05,2018,TV-14,110 min,"Horror Movies, International Movies, Thrillers","Haunted by disturbing visions, a workaholic takes a vacation with his family, but a detour leads them to an unsettling stranger and chilling events.",Horror Movies,8.9,2019
s3335,Movie,Drive,Tarun Mansukhani,"Jacqueline Fernandez, Sushant Singh Rajput, Boman Irani, Pankaj Tripathi, Vikramjeet Virk, Sapna Pabbi, Vibha Chhibber, Kaustubh Kumar",India,2019-11-01,2019,TV-14,119 min,"Action & Adventure, International Movies","A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.",Action & Adventure,8.9,2019
s7388,Movie,Maine Pyar Kiya,Sooraj R. Barjatya,"Salman Khan, Bhagyashree, Alok Nath, Rajeev Verma, Reema Lagoo, Ajit Vachani, Harish Patel, Deep Dhillon, Pervin Dastur, Mohnish Bahl",India,2018-01-01,1989,TV-PG,192 min,"Dramas, International Movies, Music & Musicals","When the son of a wealthy businessman and the daughter of a struggling engineer fall in love, the young man's parents question the girl's motives.",Dramas,8.8,2018
s7281,Movie,Lechmi,B.N. Shajeer Sha,"Parvathy Ratheesh, Biju Sopanam, Sethulekshmi Amma, Molly Angamaly",India,2018-08-01,2017,TV-MA,147 min,"Comedies, Horror Movies, International Movies","The spirit of a murdered woman contacts four bachelors, enlisting their help to find her killer.",Comedies,8.8,2018
s7096,Movie,Irada Pakka,Kedar Shinde,"Smita Jaykar, Siddarth Jadhav",India,2018-03-15,2010,TV-14,137 min,"Comedies, Dramas, International Movies","Bored in their happy marriage, a couple decides to spice things up by fighting more, but their game takes the relationship on an unexpected path.",Comedies,8.7,2018
s3659,Movie,Mauli,Aditya Sarpotdar,"Riteish Deshmukh, Saiyami Kher, Jitendra Joshi, Siddarth Jadhav, Shrikant Yadav, Vijay Nikam, Umesh Jagtap, Usha Naik, Girija Oak, Genelia D'Souza",India,2019-07-17,2018,TV-14,136 min,"Action & Adventure, Dramas, International Movies",An unconventional police officer faces off against a gang of thugs as he tries to bring order to the far-flung village he’s been stationed in.,Action & Adventure,8.7,2019
s6832,Movie,Gelo,Manbhavan Singh,"Jaspinder Cheema, Pavan Malhotra, Gurjit Singh, Dilawar Sidhu, Aditya Sharma, Raj Dhaliwal",India,2017-12-15,2016,TV-MA,118 min,"Dramas, International Movies",A Punjabi woman who works on a farm must endure the difficulties of living in an oppressive class-based society and a dysfunctional community.,Dramas,8.6,2017
s4730,Movie,Main aurr Mrs. Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan, Preity Zinta, Bappi Lahiri, Yash Tonk, Nauheed Cyrusi, Mahek Chahal",India,2018-08-02,2009,TV-14,109 min,"International Movies, Music & Musicals, Romantic Movies","A financially troubled Indian man heads to Singapore to find employment, while his pretty wife stays behind in a move that could cause trouble.",International Movies,8.6,2018
s7926,Movie,Samantaral,Partha Chakraborty,"Riddhi Sen, Parambrata Chatterjee, Soumitra Chatterjee, Aparajita Adhya, Tanusree Chakraborty, Kushal Chakraborty, Anindya Banerjee, Surangana Banerjee",India,2018-09-15,2017,TV-MA,110 min,"Dramas, International Movies","On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years.",Dramas,8.6,2018
s4102,Movie,Candyflip,Shanawaz Nellikunnil,"Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko",India,2019-02-15,2017,TV-MA,104 min,"Dramas, Independent Movies, International Movies","On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.",Dramas,8.6,2019
s7922,Movie,Saheb Bibi Golaam,Pratim D. Gupta,"Anjan Dutt, Swastika Mukherjee, Ritwick Chakraborty, Parno Mittra, Bikram Chatterjee, Sohag Sen, Sumanta Mukherjee, Arun Mukhopadhyay",India,2017-01-01,2016,TV-MA,118 min,"Dramas, International Movies","A charming cabbie, a cop turned assassin and a housewife who’s also a hooker share one thing in common: a bizarre and violent afternoon in Kolkata.",Dramas,8.5,2017
s5500,Movie,Chaahat,Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",India,2017-05-01,1996,TV-14,148 min,"Dramas, International Movies, Romantic Movies",A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.,Dramas,8.5,2017
s6888,Movie,Gour Hari Dastaan: The Freedom File,Ananth Narayan Mahadevan,"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee, Rajit Kapoor, Vikram Gokhale, Vipin Sharma, Rahul Vohra, Saurabh Shukla, Asrani",India,2017-10-15,2015,TV-14,109 min,"Dramas, Independent Movies, International Movies",A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement.,Dramas,8.5,2017
s7429,Movie,Maza Pati Karodpati,Sachin,"Sachin, Supriya Pilgaonkar, Ashok Saraf, Kishori Shahane, Suhas Bhalekar, Manchindra Kamble, Jairam Kulkarni, Nilu Phule, Shubha Khote",India,2018-01-01,1988,TV-PG,132 min,"Comedies, International Movies, Romantic Movies",An orphan girl who has ambitions of marrying a rich man changes her identity to win the heart of a prominent businessman's son.,Comedies,8.5,2018
s5021,Movie,Tu Hai Mera Sunday,Milind Dhaimade,"Barun Sobti, Shahana Goswami, Vishal Malhotra, Avinash Tiwary, Rasika Dugal, Maanvi Gagroo, Nakul Bhalla, Jay Upadhyay",India,2018-03-01,2016,TV-14,125 min,"Comedies, Independent Movies, International Movies","When their Sunday soccer game on the beach is canceled, five friends set out to find another place to play in the noisy, crowded city of Mumbai.",Comedies,8.5,2018
